CampID,Day,Time
9039,1,2020-07-20 05:15:38pm
5142,1,2020-07-20 05:15:45pm
9039,1,2020-07-20 05:15:45pm
3605,1,2020-07-20 05:15:49pm
3605,1,2020-07-20 05:15:58pm
3605,1,2020-07-20 05:16:05pm
2219,2,2020-07-20 05:16:16pm
1971,1,2020-07-20 05:16:19pm
2723,1,2020-07-20 05:16:24pm
2723,1,2020-07-20 05:16:25pm
3471,1,2020-07-20 05:16:32pm
1964,1,2020-07-20 05:16:36pm
2219,2,2020-07-20 05:16:38pm
3408,2,2020-07-20 05:16:40pm
1971,1,2020-07-20 05:16:51pm
9039,2,2020-07-20 05:16:54pm
2090,1,2020-07-20 05:17:11pm
2759,1,2020-07-20 05:17:17pm
3471,1,2020-07-20 05:17:24pm
2444,2,2020-07-20 05:17:30pm
2921 ,1,2020-07-20 05:17:34pm
3216,2,2020-07-20 05:17:34pm
2613,1,2020-07-20 05:17:37pm
3340,1,2020-07-20 05:17:42pm
3471,1,2020-07-20 05:17:43pm
2723,2,2020-07-20 05:17:52pm
3471,1,2020-07-20 05:17:53pm
3471,1,2020-07-20 05:17:53pm
3471,1,2020-07-20 05:17:54pm
3471,1,2020-07-20 05:17:54pm
3471,1,2020-07-20 05:17:54pm
3471,1,2020-07-20 05:17:54pm
3471,1,2020-07-20 05:17:55pm
3340,1,2020-07-20 05:18:05pm
2524,2,2020-07-20 05:18:46pm
2530,2,2020-07-20 05:18:48pm
2349,2,2020-07-20 05:18:48pm
3408,2,2020-07-20 05:18:51pm
3043,1,2020-07-20 05:18:54pm
3340,2,2020-07-20 05:18:55pm
2112,1,2020-07-20 05:19:02pm
5046,2,2020-07-20 05:19:21pm
3404,1,2020-07-20 05:19:32pm
1979,1,2020-07-20 05:19:41pm
1951,2,2020-07-20 05:19:45pm
3194,2,2020-07-20 05:19:45pm
1979,2,2020-07-20 05:19:46pm
1971,1,2020-07-20 05:20:03pm
3522,1,2020-07-20 05:20:31pm
2725,1,2020-07-20 05:20:46pm
2724,1,2020-07-20 05:20:50pm
2419,2,2020-07-20 05:20:59pm
2419,3,2020-07-20 05:21:22pm
2264,2,2020-07-20 05:21:25pm
2419,3,2020-07-20 05:21:26pm
2419,2,2020-07-20 05:21:31pm
2706,2,2020-07-20 05:21:39pm
2706,2,2020-07-20 05:21:44pm
2706,2,2020-07-20 05:21:48pm
2706,2,2020-07-20 05:21:52pm
2787,1,2020-07-20 05:21:59pm
2565,1,2020-07-20 05:22:05pm
2787,2,2020-07-20 05:22:16pm
2428,1,2020-07-20 05:22:20pm
2428,1,2020-07-20 05:22:29pm
2425,1,2020-07-20 05:22:31pm
2425,1,2020-07-20 05:22:37pm
2428,1,2020-07-20 05:22:38pm
2428,1,2020-07-20 05:22:38pm
2425,1,2020-07-20 05:22:51pm
1957,2,2020-07-20 05:22:53pm
